date,ticket,open,high,low,close,volume
08/19/2025,VND,24300,25100,24100,24750,49933300
08/20/2025,VND,24600,24650,23100,24100,54224200
08/21/2025,VND,24150,24900,24050,24100,47660400
08/22/2025,VND,23600,23900,22450,22450,49191000
08/25/2025,VND,22800,23200,21200,21500,33770600
08/26/2025,VND,21500,23000,21300,23000,30063100
08/27/2025,VND,23500,24450,23250,23800,55857600
08/28/2025,VND,24000,24850,23600,24650,40025400
08/29/2025,VND,25050,26350,25050,26350,75937800
09/03/2025,VND,26600,27250,26100,26800,36060000
09/04/2025,VND,26900,27050,26300,26800,30466400
09/05/2025,VND,27100,27350,25000,25000,58546400
09/08/2025,VND,24700,25500,24050,24050,63977600
09/09/2025,VND,24500,24500,23650,24500,28517100
09/10/2025,VND,24800,24950,24150,24200,18392200
09/11/2025,VND,24100,24400,22800,23950,39705200
09/12/2025,VND,24150,24250,23850,23900,16226100
09/15/2025,VND,24150,24650,24100,24600,23776400
09/16/2025,VND,25200,25200,24000,24100,29631800
09/17/2025,VND,24100,24200,23400,23400,21247400
09/18/2025,VND,23600,23700,23000,23350,30119200
09/19/2025,VND,23500,23600,22700,22700,38863800
09/22/2025,VND,22800,22900,21850,22150,38912000
09/23/2025,VND,22300,22850,22250,22250,14683000
09/24/2025,VND,22300,23100,22000,23100,20731600
09/25/2025,VND,23200,23350,22750,22850,26783700
09/26/2025,VND,22800,22900,22100,22300,22705800
09/29/2025,VND,22300,22450,21800,22150,17837200
09/30/2025,VND,22150,22800,21950,22450,20975500
10/01/2025,VND,22750,23100,22550,22600,16958900
10/02/2025,VND,22850,22950,22150,22150,13030500
10/03/2025,VND,22000,22500,21850,22000,17538400
10/06/2025,VND,22400,23500,22300,23500,34583200
10/07/2025,VND,24000,24250,23700,23700,38612600
10/08/2025,VND,24650,24650,23600,23850,40698200
10/09/2025,VND,24000,24000,23350,23500,26791500
10/10/2025,VND,23750,24250,23500,23650,24181500
10/13/2025,VND,23450,23900,23100,23700,28622300
10/14/2025,VND,24250,24550,23300,23350,43197000
10/15/2025,VND,23500,23800,23300,23500,19137300
10/16/2025,VND,23700,23900,23350,23800,27751600
10/17/2025,VND,24050,24500,23500,23550,39797600
10/20/2025,VND,23500,23800,21950,21950,33639500
10/21/2025,VND,21800,22400,20450,21050,52873100
10/22/2025,VND,21400,21400,20000,20950,32394700
10/23/2025,VND,21100,21300,20500,20500,18295700
10/24/2025,VND,20300,20650,19850,20200,30195100
10/27/2025,VND,20600,21000,19950,20100,19760300
10/28/2025,VND,20150,20800,20000,20750,17415200
10/29/2025,VND,20850,20900,20500,20500,14111600
10/30/2025,VND,20700,20700,20000,20000,17970700
10/31/2025,VND,20000,20350,19900,20050,15033600
11/03/2025,VND,20050,20200,18800,18800,29549500
11/04/2025,VND,18800,20100,18800,20100,26953700
11/05/2025,VND,20150,20350,19950,19950,10954000
11/06/2025,VND,20050,20050,19500,19600,11663500
11/07/2025,VND,19550,19750,18850,18900,17842900
11/10/2025,VND,18900,19700,18750,19050,16717900
11/11/2025,VND,19400,19500,19050,19400,9953400
11/12/2025,VND,19600,20100,19400,19900,19016600
11/13/2025,VND,19950,19950,19500,19600,9059900
11/14/2025,VND,19550,19950,19400,19650,11523700
11/17/2025,VND,19750,19950,19600,19900,13473800
11/18/2025,VND,20050,20500,20000,20150,22820500
11/19/2025,VND,20150,20200,19400,19400,24710400
11/20/2025,VND,19550,19600,19300,19350,8631000
11/21/2025,VND,19300,19300,18950,19100,11627300
11/24/2025,VND,19250,19450,18800,18800,10557300
11/25/2025,VND,19000,19100,18150,18200,21919800
11/26/2025,VND,18400,19200,18300,18800,16306700
11/27/2025,VND,18900,19150,18750,18750,11455300
11/28/2025,VND,18800,18850,18400,18400,8872800
12/01/2025,VND,18600,18600,18200,18200,9607400
12/02/2025,VND,18250,18900,18200,18700,13453100
12/03/2025,VND,18800,19100,18700,19000,10171200
12/04/2025,VND,19200,19700,19150,19300,15517800
12/05/2025,VND,19400,19450,19000,19000,11084900
12/08/2025,VND,19000,19150,18700,18700,7743000
12/09/2025,VND,18700,18850,18250,18600,14823700
12/10/2025,VND,18700,19000,18550,18600,7770200
12/11/2025,VND,18700,18900,18500,18600,7543600
12/12/2025,VND,18650,18800,17500,17500,16560100
12/15/2025,VND,17700,17950,17500,17700,9804800
12/16/2025,VND,17700,18900,17450,18900,17912200
12/17/2025,VND,18900,19200,18750,18850,16161700
12/18/2025,VND,18900,19500,18800,19350,21201100
12/19/2025,VND,19400,19850,19250,19850,26362600
12/22/2025,VND,20000,20000,19600,20000,20667800
12/23/2025,VND,20000,20100,19500,19950,18711700
12/24/2025,VND,19850,20400,19650,20400,21899400
12/25/2025,VND,20300,20550,20000,20000,16156400
12/26/2025,VND,19750,20150,19250,20000,22010800
12/29/2025,VND,20000,20050,19550,19800,8883400
12/30/2025,VND,19750,20000,19500,19700,8305800
12/31/2025,VND,19700,19800,19350,19450,9532900
