date,ticket,open,high,low,close,volume
10/07/2025,BID,41000,41000,40450,40500,2418400
10/08/2025,BID,40900,40900,40250,40450,4602600
10/09/2025,BID,40550,40950,40400,40800,4346900
10/10/2025,BID,40900,41500,40900,41200,6794000
10/13/2025,BID,41000,41150,40750,40900,4326200
10/14/2025,BID,40600,40750,39600,39600,7724500
10/15/2025,BID,39700,40150,39350,39350,4329400
10/16/2025,BID,39350,39750,39200,39750,3801100
10/17/2025,BID,39750,39800,39050,39050,4176200
10/20/2025,BID,38950,39050,36500,36500,7393700
10/21/2025,BID,36550,37500,36550,37050,4500300
10/22/2025,BID,37500,37500,36500,37200,3971100
10/23/2025,BID,37000,37450,36850,36900,2708600
10/24/2025,BID,37000,37100,36200,36900,3489900
10/27/2025,BID,36950,37200,36500,36500,2062600
10/28/2025,BID,36600,37150,36600,37100,2793500
10/29/2025,BID,37500,37900,37300,37800,3204200
10/30/2025,BID,37950,38250,37600,37900,2599600
10/31/2025,BID,38000,38000,37400,37400,2380000
11/03/2025,BID,37600,37800,37100,37100,2453800
11/04/2025,BID,37100,38000,36900,37900,3482600
11/05/2025,BID,37600,38800,37600,38650,3945700
11/06/2025,BID,38700,38900,38350,38500,2392700
11/07/2025,BID,38350,38650,37450,37500,3220900
11/10/2025,BID,37500,38000,37300,37400,2337400
11/11/2025,BID,37600,38150,37600,38000,2393800
11/12/2025,BID,38200,38400,37800,38250,2029800
11/13/2025,BID,38250,38450,38000,38300,1942700
11/14/2025,BID,38200,38500,38200,38350,2234600
11/17/2025,BID,38350,38550,38300,38400,1422700
11/18/2025,BID,38500,38500,38250,38400,1451400
11/19/2025,BID,38300,38450,38100,38100,1302400
11/20/2025,BID,38200,38200,37900,37950,1467900
11/21/2025,BID,37900,37900,37400,37600,1247000
11/24/2025,BID,37600,37950,37600,37650,1091700
11/25/2025,BID,37800,37800,37000,37000,1798100
11/26/2025,BID,37050,37550,37050,37350,1237300
11/27/2025,BID,37450,37700,37300,37550,1071300
11/28/2025,BID,37550,37600,37100,37100,878600
12/01/2025,BID,37200,37300,36950,36950,1458900
12/02/2025,BID,36950,37050,36650,36850,1590300
12/03/2025,BID,37000,38450,37000,38400,4011700
12/04/2025,BID,38500,38550,38050,38200,2052100
12/05/2025,BID,38300,38450,37800,37800,1626100
12/08/2025,BID,37800,37950,37450,37500,1702000
12/09/2025,BID,37500,37950,37100,37450,3264300
12/10/2025,BID,37500,37900,37450,37700,1904100
12/11/2025,BID,37700,38100,37600,37600,1133200
12/12/2025,BID,37700,37700,37000,37000,1877500
12/15/2025,BID,37050,37150,36900,37000,1243400
12/16/2025,BID,37100,37750,36850,37400,2060100
12/17/2025,BID,37450,38500,37450,38000,4085100
12/18/2025,BID,38100,38300,37900,38000,1238300
12/19/2025,BID,38000,38150,37600,37700,2050700
12/22/2025,BID,37700,38450,37650,38400,2714700
12/23/2025,BID,38500,38800,37900,38000,1919100
12/24/2025,BID,38000,38450,37800,38400,1986000
12/25/2025,BID,38400,38950,38350,38800,3728800
12/26/2025,BID,38450,38800,38000,38800,2657200
12/29/2025,BID,38800,38900,38600,38800,1644300
12/30/2025,BID,38800,39850,38650,39400,5379000
12/31/2025,BID,39500,39550,38900,38900,1630700
