date,ticket,open,high,low,close,volume
07/02/2025,SSI,24400,25800,24350,25500,41265000
07/03/2025,SSI,25500,26300,25150,25750,58323300
07/04/2025,SSI,25900,26150,25600,25900,21022600
07/07/2025,SSI,26200,26450,26050,26300,33309100
07/08/2025,SSI,26400,27150,26250,27050,65007600
07/09/2025,SSI,27250,28850,27250,28550,72536400
07/10/2025,SSI,28900,29150,28600,28950,51768100
07/11/2025,SSI,28950,30000,28950,29650,62931400
07/14/2025,SSI,29800,29950,29000,29750,51458700
07/15/2025,SSI,29800,31800,29650,30500,62849100
07/16/2025,SSI,30500,31900,30300,31600,47110600
07/17/2025,SSI,32000,32100,31350,31900,49672400
07/18/2025,SSI,32050,32300,31500,31800,38374200
07/21/2025,SSI,32050,32100,30800,31350,55033300
07/22/2025,SSI,31000,32000,30550,32000,61716000
07/23/2025,SSI,32300,33350,31900,32250,43849400
07/24/2025,SSI,32300,32350,31350,32000,43190300
07/25/2025,SSI,32150,34100,32000,34000,62122900
07/28/2025,SSI,34800,35850,34450,35800,49584700
07/29/2025,SSI,36100,36200,33300,33300,104999100
07/30/2025,SSI,33600,34150,32700,33900,62743900
07/31/2025,SSI,34100,34600,33100,34200,49380200
08/01/2025,SSI,34000,34800,33100,33200,56677600
08/04/2025,SSI,32500,34000,32400,34000,56726000
08/05/2025,SSI,34400,35900,32500,34650,91934400
08/06/2025,SSI,34750,35300,34400,35300,50091400
08/07/2025,SSI,35800,35800,34750,35150,37109400
08/08/2025,SSI,35700,37200,35100,35500,95427300
08/11/2025,SSI,35800,37750,35300,37500,59260500
08/12/2025,SSI,37900,37950,36400,36750,45373500
08/13/2025,SSI,37050,37150,35600,36750,67780700
08/14/2025,SSI,37000,37800,36100,36800,70443500
08/15/2025,SSI,37400,37550,36250,36550,58499100
08/18/2025,SSI,36600,36800,35650,35800,50226000
08/19/2025,SSI,35500,37300,35500,36750,59106200
08/20/2025,SSI,36750,36800,34500,36100,60341100
08/21/2025,SSI,36200,37900,36100,37050,72277300
08/22/2025,SSI,36450,36800,35350,35750,63807300
08/25/2025,SSI,36400,37800,35850,36650,69348200
08/26/2025,SSI,36550,39200,36150,39200,94358400
08/27/2025,SSI,40450,41200,40100,40250,59655800
08/28/2025,SSI,40500,42000,40150,42000,54930700
08/29/2025,SSI,42950,44150,42200,42200,52457300
09/03/2025,SSI,42200,42650,40900,41350,54126400
09/04/2025,SSI,41600,42600,41150,42300,33209200
09/05/2025,SSI,42750,43400,40500,40500,51528200
09/08/2025,SSI,40300,41600,40100,40200,72146900
09/09/2025,SSI,40550,42000,39300,42000,51995900
09/10/2025,SSI,42800,43400,41650,42450,43275200
09/11/2025,SSI,41800,42600,39800,42450,85920600
09/12/2025,SSI,42850,42900,41550,41900,34559500
09/15/2025,SSI,42100,42650,41450,42200,40521000
09/16/2025,SSI,43000,43000,41600,41600,37917500
09/17/2025,SSI,41400,41650,40500,40600,37920700
09/18/2025,SSI,40850,41400,40300,40800,26356200
09/19/2025,SSI,41000,41250,40350,40350,27872000
09/22/2025,SSI,40500,40750,39200,39300,43538600
09/23/2025,SSI,39400,40100,39400,39400,21429500
09/24/2025,SSI,39500,40250,38550,40250,36376800
09/25/2025,SSI,39500,39650,39000,39000,25997200
09/26/2025,SSI,38900,38950,38000,38000,38838600
09/29/2025,SSI,38050,38200,37200,37550,34409300
09/30/2025,SSI,37600,38800,37300,38550,38227200
10/01/2025,SSI,38850,39200,38450,38600,16967100
10/02/2025,SSI,38650,38950,37700,37850,21157600
10/03/2025,SSI,37750,38200,37200,37650,25057700
10/06/2025,SSI,38500,40250,38450,40250,53500100
10/07/2025,SSI,41000,41350,40550,40800,40540800
10/08/2025,SSI,41750,42500,40550,41200,53747600
10/09/2025,SSI,41250,41300,40550,40650,33451500
10/10/2025,SSI,40900,41500,40600,40700,29024800
10/13/2025,SSI,40150,41700,40000,41350,42263800
10/14/2025,SSI,42350,43300,41000,41000,65269200
10/15/2025,SSI,41100,41750,40850,41450,30114300
10/16/2025,SSI,41700,42250,41150,41350,29760800
10/17/2025,SSI,41500,41950,40700,40800,38969300
10/20/2025,SSI,40750,41800,37950,37950,70585900
10/21/2025,SSI,37950,39500,36950,38600,81186900
10/22/2025,SSI,38800,38800,37200,38450,32795900
10/23/2025,SSI,38500,38650,37500,37500,24279700
10/24/2025,SSI,37200,37400,35700,36000,82075200
10/27/2025,SSI,36400,36550,34550,34800,71137600
10/28/2025,SSI,34700,36000,34700,35850,34464100
10/29/2025,SSI,35950,36200,35600,35600,22897000
10/30/2025,SSI,35650,35850,34800,34850,28037300
10/31/2025,SSI,34750,35250,34300,34300,26772900
11/03/2025,SSI,34300,34550,32500,32500,50015100
11/04/2025,SSI,32400,34750,32100,34750,57837700
11/05/2025,SSI,34800,35500,34750,34900,30063400
11/06/2025,SSI,35000,35050,34050,34300,23177900
11/07/2025,SSI,34150,34200,32850,32950,36679200
11/10/2025,SSI,32950,34850,32750,33600,33031200
11/11/2025,SSI,34100,34950,33700,34850,30203900
11/12/2025,SSI,35100,35850,34800,35500,34965500
11/13/2025,SSI,35550,35550,34800,34950,21313000
11/14/2025,SSI,34800,35350,34600,34950,19630000
11/17/2025,SSI,35000,35450,34850,35400,15953500
11/18/2025,SSI,35450,35950,35200,35550,25611500
11/19/2025,SSI,35400,35450,34350,34650,23268600
11/20/2025,SSI,34650,34950,34150,34800,21063700
11/21/2025,SSI,34300,34550,34050,34300,18445600
11/24/2025,SSI,34600,34900,34300,34400,11833000
11/25/2025,SSI,34150,34300,32600,32850,53026500
11/26/2025,SSI,33000,34050,32950,34000,36038100
11/27/2025,SSI,33850,34150,33150,33200,20104000
11/28/2025,SSI,33150,33450,32550,32800,25473600
12/01/2025,SSI,33000,33150,32000,32000,28396500
